ID,Mean,SD
527365852,973699.7333333333,440736.2417517933
9465511,1000000,NaN
60662967,NaN,-0
63997108,23565.5,11043.668929688694
105342773,2767.3809523809523,1008.1377126261311
16855096,39495.8,4973.711913651614
19264489,2990.5882352941176,589.5712487502601
78002439,1320.6538461538462,233.6438216273124
92142710,147500,NaN
106064277,35830.333333333336,13731.74001598729
35685322,45663.333333333336,11370.664199303985
118280164,17380.6,16048.93184538391
1532384,1019.75,180.32837430821905
24826640,217.19480519480518,47.6097178716364
4771629993,174.41758241758242,59.067770105205966
131310899,10529.5,9227.199665481758
302281542,2166.740740740741,415.67207790910896
51243261,5249.333333333333,1863.491525783433
76170471,39999,NaN
159229378,1476.4615384615386,613.583717565532
164204277,42500,3535.5339059327375
152980772,208.89743589743588,53.90506078055732
3339385534,845.8378378378378,161.60248098919106
169284783,24043.125,14888.718868780195
153027826,8500,NaN
209994074,69900,NaN
260303894,9303.782608695652,1679.1409859189566
83704165,1800000,989949.4936611665
156105465,242888,NaN
293315415,2814.1428571428573,655.0194192239186
361950795,47000,22338.307903688677
1184599,67252.83333333333,33885.80157184815
22547523,22941.166666666668,9345.806962904744
67996003,2124.525,340.5756806214578
105342986,6777.5,1728.8760800011087
42847638,11199.714285714286,2479.13968372671
97756645,NaN,-0
271015669,3682.3255813953488,789.5010697218313
362029470,6495.46875,898.2970621654962
583159170,6290.5,2749.0232305715826
209995252,108784.33333333333,10252.464058296751
1428424821,15221.826086956522,3485.2513624254616
4771632715,175.12087912087912,28.919364971065157
47256011,6846.333333333333,1857.385761404094
121259978,2766.6666666666665,850.0980335624042
1032641,25326.833333333332,3611.7734583284305
402304145,10906.137931034482,1236.7447976770634
41453045,4039.6666666666665,990.8787345920119
86494893,2258.325,498.68058671267977
689391156,499995,NaN
330295337,11472,2080.932387176479
85157065680913,3397.3793103448274,589.8430268394692
1556235379,184.7032967032967,32.438486916862104
10159617728,5912.879120879121,2002.0179366227512
1173851,3102.9411764705883,394.56850967041123
138844851,431.29411764705884,147.88861828202653
241671883,11396.916666666666,2134.019700783789
383507092,2896.9375,559.5970536913146
413199286,1985.5714285714287,417.1214280210089
19112220,3674,1639.5025668374742
169286712,1790.837837837838,405.8484606019505
323191979,19140.18604651163,2217.0665330976462
4786877411,185.45054945054946,48.20863540355118
62684484,10122,1940.0961316388423
121925071,4699.6,1198.3685815068989
134086163,21058.14285714286,4564.11402240608
158066632,3855.7272727272725,1454.8464586277887
292970740,42276.393939393936,6241.380202089889
1082935,2292.843373493976,281.253226840143
105344861,62024,32888.18073411784
110706539,192.47560975609755,51.567341950079665
293318142,1975,281.73569173961613
878899787,165698.17647058822,18476.23332685089
40497339,95000,77781.74593052022
58247707,2784.5,1029.7250442067857
833771102,1128.5384615384614,265.50803795483006
878908562,899000,NaN
2528066922,173.06593406593407,26.616119676200483
2878664734,707.6962025316456,90.40370346827041
334656210,60850.17647058824,8037.355247304826
23962549,1741.2307692307693,451.4262866822138
56861526,12021.714285714286,2435.3038629218127
80661504,647137.3333333334,182940.52519420985
95245701,793.8636363636364,137.10902698723115
244160970,17724,5296.261322857851
151787490,1156.923076923077,189.92650400372486
15054210,29182.146666666667,5121.709606079692
128158768,12094.666666666666,3171.2057739298566
149594126,1682.3529411764705,361.6863180257982
158069071,7946.357142857143,2156.928785499022
563291875,2922.5625,530.4939451095294
3339364587,692.7222222222222,118.55647753193358
26011378,3000000,NaN
53898421,10000,NaN
553879651,977.7037037037037,262.1719657040768
6379764,478.70238095238096,49.466011152335774
19704809,40712.25806451613,4426.077351244122
46846024,5971.5,1826.9444588042504
76692291,439.47727272727275,77.48502890247195
82358339,8375.5,1683.7504056633302
